# j  kt  kq  eta
4.000000000000000222e-01 -7.712406917976160230e+02 3.451383069103876551e+02 -1.422580640346871317e-01
5.000000000000000000e-01 -1.177882613572284299e+03 4.844219412705232912e+02 -1.934943737688177845e-01
6.000000000000000888e-01 -1.507122097144510235e+03 5.970421808385594886e+02 -2.410542564346210836e-01
7.000000000000000666e-01 -1.651190782355376314e+03 6.509465191727859974e+02 -2.825986729808648845e-01
8.000000000000000444e-01 -1.559037113542997986e+03 6.293799726251857010e+02 -3.153941642586793326e-01
9.000000000000000222e-01 -1.256450328639045892e+03 5.358073954622395831e+02 -3.358916917185214568e-01
1.000000000000000000e+00 -8.648535693638040129e+02 3.969868874183750336e+02 -3.467261135752759960e-01
1.100000000000000089e+00 -3.908718272070871080e+02 1.740717213668297347e+02 -3.931144083575756065e-01
