# j  kt  kq  eta
4.000000000000000222e-01 2.060642305253341799e+00 1.328857058654397683e-01 9.871984550616506038e-01
5.000000000000000000e-01 1.796680188028925595e+00 1.447267514596848326e-01 9.878979877460111192e-01
6.000000000000000888e-01 1.534933720164802340e+00 1.483894153972998564e-01 9.877751249113915222e-01
7.000000000000000666e-01 1.275282363812155761e+00 1.439666250022707816e-01 9.868762598608811221e-01
8.000000000000000444e-01 1.017359478438490950e+00 1.315123694927446407e-01 9.849585435615537676e-01
9.000000000000000222e-01 7.610095963836343014e-01 1.110876074201511132e-01 9.812669264903763899e-01
1.000000000000000000e+00 5.064661979554313520e-01 8.280535787440138074e-02 9.734466583168305265e-01
1.100000000000000089e+00 2.522236532257231545e-01 4.648908561282959206e-02 9.498338096144641751e-01
