# j  kt  kq  eta
4.000000000000000222e-01 5.429534603972637763e-01 8.303670049853735524e-02 4.162676338161885869e-01
5.000000000000000000e-01 4.904062954141208963e-01 7.774935876306461602e-02 5.019371688736042891e-01
6.000000000000000888e-01 4.338959482875136553e-01 7.134652064346663769e-02 5.807432598087897135e-01
7.000000000000000666e-01 3.732235145603760018e-01 6.371522949438962469e-02 6.525952646525581269e-01
8.000000000000000444e-01 3.082297226917747879e-01 5.474826084041333613e-02 7.168269197406671456e-01
9.000000000000000222e-01 2.387898171995847529e-01 4.434327822438774436e-02 7.713485145935862208e-01
1.000000000000000000e+00 1.647900144501885933e-01 3.239859705617511437e-02 8.095148480181961759e-01
1.100000000000000089e+00 8.612242105232481570e-02 1.881283875938447731e-02 8.014468266332080981e-01
