Angle of Attack (deg) | Lift Coefficient (CL)
--------------------------------------------
              -20.00 |              -1.9478
              -17.76 |              -1.7009
              -15.52 |              -1.4525
              -13.28 |              -1.2029
              -11.03 |              -0.9522
               -8.79 |              -0.7005
               -6.55 |              -0.4480
               -4.31 |              -0.1949
               -2.07 |               0.0586
                0.17 |               0.3126
                2.41 |               0.5666
                4.66 |               0.8207
                6.90 |               1.0747
                9.14 |               1.3282
               11.38 |               1.5811
               13.62 |               1.8332
               15.86 |               2.0843
               18.10 |               2.3340
               20.34 |               2.5820
               22.59 |               2.8281
               24.83 |               3.0718
               27.07 |               3.3129
               29.31 |               3.5508
               31.55 |               3.7853
               33.79 |               4.0158
               36.03 |               4.2419
               38.28 |               4.4632
               40.52 |               4.6791
               42.76 |               4.8891
               45.00 |               5.0928
