Angle of Attack (deg) | Lift Coefficient (CL)
--------------------------------------------
              -20.00 |              -1.9829
              -17.76 |              -1.7336
              -15.52 |              -1.4828
              -13.28 |              -1.2306
              -11.03 |              -0.9772
               -8.79 |              -0.7228
               -6.55 |              -0.4677
               -4.31 |              -0.2120
               -2.07 |               0.0442
                0.17 |               0.3005
                2.41 |               0.5569
                4.66 |               0.8132
                6.90 |               1.0690
                9.14 |               1.3243
               11.38 |               1.5787
               13.62 |               1.8321
               15.86 |               2.0842
               18.10 |               2.3346
               20.34 |               2.5831
               22.59 |               2.8293
               24.83 |               3.0730
               27.07 |               3.3137
               29.31 |               3.5511
               31.55 |               3.7848
               33.79 |               4.0143
               36.03 |               4.2392
               38.28 |               4.4592
               40.52 |               4.6736
               42.76 |               4.8820
               45.00 |               5.0840
