Angle of Attack (deg) | Lift Coefficient (CL)
--------------------------------------------
              -20.00 |              -2.1674
              -17.76 |              -1.9058
              -15.52 |              -1.6418
              -13.28 |              -1.3756
              -11.03 |              -1.1076
               -8.79 |              -0.8382
               -6.55 |              -0.5677
               -4.31 |              -0.2966
               -2.07 |              -0.0250
                0.17 |               0.2466
                2.41 |               0.5179
                4.66 |               0.7885
                6.90 |               1.0581
                9.14 |               1.3263
               11.38 |               1.5929
               13.62 |               1.8573
               15.86 |               2.1194
               18.10 |               2.3786
               20.34 |               2.6348
               22.59 |               2.8874
               24.83 |               3.1362
               27.07 |               3.3808
               29.31 |               3.6207
               31.55 |               3.8557
               33.79 |               4.0854
               36.03 |               4.3094
               38.28 |               4.5274
               40.52 |               4.7389
               42.76 |               4.9437
               45.00 |               5.1413
