Angle of Attack (deg) | Lift Coefficient (CL)
--------------------------------------------
              -20.00 |              -1.9574
              -17.76 |              -1.7219
              -15.52 |              -1.4850
              -13.28 |              -1.2469
              -11.03 |              -1.0076
               -8.79 |              -0.7672
               -6.55 |              -0.5259
               -4.31 |              -0.2838
               -2.07 |              -0.0408
                0.17 |               0.2027
                2.41 |               0.4468
                4.66 |               0.6913
                6.90 |               0.9360
                9.14 |               1.1808
               11.38 |               1.4255
               13.62 |               1.6700
               15.86 |               1.9139
               18.10 |               2.1570
               20.34 |               2.3990
               22.59 |               2.6396
               24.83 |               2.8785
               27.07 |               3.1152
               29.31 |               3.3495
               31.55 |               3.5808
               33.79 |               3.8086
               36.03 |               4.0326
               38.28 |               4.2522
               40.52 |               4.4669
               42.76 |               4.6762
               45.00 |               4.8795
