Angle of Attack (deg) | Lift Coefficient (CL)
--------------------------------------------
              -20.00 |              -2.1828
              -17.76 |              -1.9195
              -15.52 |              -1.6537
              -13.28 |              -1.3857
              -11.03 |              -1.1159
               -8.79 |              -0.8447
               -6.55 |              -0.5724
               -4.31 |              -0.2994
               -2.07 |              -0.0260
                0.17 |               0.2474
                2.41 |               0.5204
                4.66 |               0.7927
                6.90 |               1.0639
                9.14 |               1.3336
               11.38 |               1.6016
               13.62 |               1.8675
               15.86 |               2.1308
               18.10 |               2.3913
               20.34 |               2.6486
               22.59 |               2.9023
               24.83 |               3.1520
               27.07 |               3.3974
               29.31 |               3.6381
               31.55 |               3.8738
               33.79 |               4.1041
               36.03 |               4.3286
               38.28 |               4.5470
               40.52 |               4.7589
               42.76 |               4.9640
               45.00 |               5.1619
