Angle of Attack (deg) | Lift Coefficient (CL)
--------------------------------------------
              -20.00 |              -2.1412
              -17.76 |              -1.8845
              -15.52 |              -1.6255
              -13.28 |              -1.3646
              -11.03 |              -1.1021
               -8.79 |              -0.8382
               -6.55 |              -0.5733
               -4.31 |              -0.3077
               -2.07 |              -0.0417
                0.17 |               0.2244
                2.41 |               0.4903
                4.66 |               0.7557
                6.90 |               1.0203
                9.14 |               1.2837
               11.38 |               1.5457
               13.62 |               1.8059
               15.86 |               2.0640
               18.10 |               2.3196
               20.34 |               2.5725
               22.59 |               2.8223
               24.83 |               3.0686
               27.07 |               3.3111
               29.31 |               3.5494
               31.55 |               3.7831
               33.79 |               4.0119
               36.03 |               4.2353
               38.28 |               4.4531
               40.52 |               4.6647
               42.76 |               4.8699
               45.00 |               5.0683
