Angle of Attack (deg) | Lift Coefficient (CL)
--------------------------------------------
              -20.00 |              -2.0820
              -17.76 |              -1.8288
              -15.52 |              -1.5738
              -13.28 |              -1.3170
              -11.03 |              -1.0589
               -8.79 |              -0.7996
               -6.55 |              -0.5394
               -4.31 |              -0.2786
               -2.07 |              -0.0175
                0.17 |               0.2438
                2.41 |               0.5050
                4.66 |               0.7658
                6.90 |               1.0260
                9.14 |               1.2852
               11.38 |               1.5433
               13.62 |               1.7999
               15.86 |               2.0548
               18.10 |               2.3076
               20.34 |               2.5580
               22.59 |               2.8057
               24.83 |               3.0503
               27.07 |               3.2916
               29.31 |               3.5291
               31.55 |               3.7624
               33.79 |               3.9912
               36.03 |               4.2151
               38.28 |               4.4336
               40.52 |               4.6464
               42.76 |               4.8530
               45.00 |               5.0530
