Angle of Attack (deg) | Lift Coefficient (CL)
--------------------------------------------
              -20.00 |              -2.0080
              -17.76 |              -1.7726
              -15.52 |              -1.5360
              -13.28 |              -1.2982
              -11.03 |              -1.0595
               -8.79 |              -0.8198
               -6.55 |              -0.5794
               -4.31 |              -0.3384
               -2.07 |              -0.0967
                0.17 |               0.1453
                2.41 |               0.3877
                4.66 |               0.6304
                6.90 |               0.8731
                9.14 |               1.1157
               11.38 |               1.3582
               13.62 |               1.6002
               15.86 |               1.8416
               18.10 |               2.0822
               20.34 |               2.3217
               22.59 |               2.5598
               24.83 |               2.7963
               27.07 |               3.0307
               29.31 |               3.2628
               31.55 |               3.4920
               33.79 |               3.7181
               36.03 |               3.9405
               38.28 |               4.1588
               40.52 |               4.3725
               42.76 |               4.5810
               45.00 |               4.7840
