Angle of Attack (deg) | Lift Coefficient (CL)
--------------------------------------------
              -20.00 |              -1.9258
              -17.76 |              -1.6865
              -15.52 |              -1.4459
              -13.28 |              -1.2040
              -11.03 |              -0.9611
               -8.79 |              -0.7172
               -6.55 |              -0.4724
               -4.31 |              -0.2268
               -2.07 |               0.0196
                0.17 |               0.2666
                2.41 |               0.5141
                4.66 |               0.7620
                6.90 |               1.0101
                9.14 |               1.2583
               11.38 |               1.5065
               13.62 |               1.7543
               15.86 |               2.0016
               18.10 |               2.2481
               20.34 |               2.4936
               22.59 |               2.7376
               24.83 |               2.9799
               27.07 |               3.2200
               29.31 |               3.4576
               31.55 |               3.6921
               33.79 |               3.9232
               36.03 |               4.1503
               38.28 |               4.3730
               40.52 |               4.5906
               42.76 |               4.8026
               45.00 |               5.0085
