Angle of Attack (deg) | Lift Coefficient (CL)
--------------------------------------------
              -20.00 |              -2.0310
              -17.76 |              -1.7797
              -15.52 |              -1.5267
              -13.28 |              -1.2721
              -11.03 |              -1.0163
               -8.79 |              -0.7595
               -6.55 |              -0.5018
               -4.31 |              -0.2436
               -2.07 |               0.0150
                0.17 |               0.2738
                2.41 |               0.5325
                4.66 |               0.7909
                6.90 |               1.0488
                9.14 |               1.3059
               11.38 |               1.5620
               13.62 |               1.8168
               15.86 |               2.0700
               18.10 |               2.3214
               20.34 |               2.5706
               22.59 |               2.8173
               24.83 |               3.0611
               27.07 |               3.3018
               29.31 |               3.5390
               31.55 |               3.7721
               33.79 |               4.0010
               36.03 |               4.2251
               38.28 |               4.4440
               40.52 |               4.6572
               42.76 |               4.8645
               45.00 |               5.0652
