Angle of Attack (deg) | Lift Coefficient (CL)
--------------------------------------------
              -20.00 |              -1.9283
              -17.76 |              -1.6838
              -15.52 |              -1.4379
              -13.28 |              -1.1908
              -11.03 |              -0.9426
               -8.79 |              -0.6936
               -6.55 |              -0.4436
               -4.31 |              -0.1930
               -2.07 |               0.0582
                0.17 |               0.3098
                2.41 |               0.5617
                4.66 |               0.8139
                6.90 |               1.0660
                9.14 |               1.3180
               11.38 |               1.5695
               13.62 |               1.8205
               15.86 |               2.0707
               18.10 |               2.3198
               20.34 |               2.5675
               22.59 |               2.8134
               24.83 |               3.0573
               27.07 |               3.2988
               29.31 |               3.5373
               31.55 |               3.7726
               33.79 |               4.0042
               36.03 |               4.2315
               38.28 |               4.4541
               40.52 |               4.6715
               42.76 |               4.8831
               45.00 |               5.0884
